OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1894461,4092015316,TASU,8919 BRIER CREEK PKY ,RALEIGH,27617,+19195448474,2009-01-05,18986,-78.79210079,35.89996272,M
1894463,4092017737,Zaxby's #66301,2901 Hillsborough ST ,RALEIGH,27607,+19842420789,2017-11-13,18997,-78.67549354,35.7890291,M
1894464,4092017820,Alamo Drafthouse Cinema,2116-D New Bern AVE ,RALEIGH,27610,+19844446620,2018-04-04,18970,-78.60490969,35.77963494,M
1894466,4092017623,PRO'S EPICUREAN MARKET & CAFE,211 E CHATHAM ST ,CARY,27511,+19193771788,2017-06-20,19017,-78.77802091,35.78798563,M
1894467,4092015374,Shane's Rib Shack #55,5811 POYNER VILLAGE PKY ,RALEIGH,27616,+19198509900,2009-04-15,19023,-78.56916648,35.86464286,M
1894468,4092018020,Burial Beer Co.,500-170 E Davie ST ,RALEIGH,27601,+19196171314,2019-01-02,18980,-78.63247092,35.77531669,M
1894469,4092018412,The Grand Marquise Ballroom,205 NEW FIDELITY CT,GARNER,27529,nan,2020-06-15,19045,-78.63155743,35.71328555,M
1894470,4092018562,Jersey Mike's Subs #3157 ,1009 Stadium DR ,WAKE FOREST,27587,+19192770623,2021-03-19,19053,-78.52990327,35.98957106,M
1894471,4092015129,Caribbean Cafe,2645-D E Millbrook RD ,RALEIGH,27604,+19198724858,2008-05-01,19032,-78.5905395,35.84846974,M
1894472,4092015904,WHOLE FOODS #10338 PREPARED FOODS,8710 SIX FORKS RD ,RALEIGH,27615,+19193540350,2011-03-11,19064,-78.65023656,35.89889154,M
1894474,4092017739,Falls Village Wine and Beer,6675-131 Falls of Neuse RD ,RALEIGH,27615,+19842005984,2017-11-16,19036,-78.6231327,35.87483802,M
1894475,4092017945,MCDONALDS #13362,4801 SW CARY  PKY ,CARY,27511,+19194811500,2018-09-28,19092,-78.82984564,35.78912051,M
1894476,4092018575,Wendy's #6319,181 Grand Hill PL ,HOLLY SPRINGS,27540,+19195776162,2021-03-24,19093,-78.84762462,35.66221876,M
1894478,4092016045,Mandolin,2519 Fairview RD ,RALEIGH,27608,+19193220365,2011-11-16,19094,-78.65518587,35.80902867,M
1894479,4092016048,GONZA TACOS Y TEQUILA,7713 LEAD MINE  RD ,RALEIGH,27615,+19198465478,2011-11-17,19096,-78.66044244,35.88617531,T
1894480,4092016365,SHEETZ #507,7900 FAYETTEVILLE  RD ,RALEIGH,27603,+19193290707,2013-01-30,19110,-78.69847972,35.66673892,M
1894481,4092017238,Mediterra,108 GRAND HILL PL ,HOLLY SPRINGS,27540,+19197627851,2016-06-09,19114,-78.84948074,35.66266499,M
1894482,4092017243,TENKO JAPAN,280 MEETING ST ,CARY,27518,+19842000569,2016-06-17,19125,-78.74478781,35.75666346,M
1894483,4092017244,WHISKEY KITCHEN,201 W MARTIN ST ,RALEIGH,27601,+19198033181,2016-06-17,19126,-78.64215374,35.77671492,M
1894484,4092017639,41 NORTH COFFEE CO.,41 N MAIN ST ,WENDELL,27591,+19196260271,2017-06-12,19139,-78.3701116,35.78250975,M
1894485,4092015826,Tuscan Blu,327 W. DAVIE ST ,RALEIGH,27601,+19198345707,2010-11-19,19158,-78.64497472,35.7752364,M
1894486,4092018667,Burger King #3768,4203 Wake Forest RD ,RALEIGH,27609,+19198723795,2021-06-30,19160,-78.61307772,35.83835644,M
1894487,4092016838,PANERA #1813,6201 GLENWOOD AVE.,RALEIGH,27612,+19193342726,2014-12-17,19161,-78.70383431,35.85593995,M
1894488,4092016929,41 Hundred,4100 MAIN AT NORTH HILLS  ST ,RALEIGH,27609,+19195718773,2015-05-22,19168,-78.64382291,35.83596182,M
1894491,4092016281,BI CAFE,5000 DAVIS DR ,MORRISVILLE,27560,+19199931925,2012-10-17,19198,-78.86834561,35.86068503,M
1894492,4092017124,J & S NEW YORK PIZZA,804 PERRY RD ,APEX,27502,+19193630071,2015-12-28,19200,-78.84460695,35.7208474,M
1894494,4092016803,GARDENS AT WAKEFIELD PLANTATION,12800 SPRUCE TREE  WAY ,RALEIGH,27614,+19195625580,2014-11-07,19206,-78.56215874,35.94291372,M
1894496,4092015436,KFC/TACO BELL #118,7108  GB ALFORD HWY ,HOLLY SPRINGS,27540,+19195573801,2009-07-17,19209,-78.83081066,35.63579705,M
1894497,4092018612,New World Cafe,4112 PLEASANT VALLEY RD ,RALEIGH,27612,+19197860091,2021-04-27,19210,-78.70472608,35.86043731,M
1894499,4092015087,BRUEGGERS BAGELS #644,3510 WADE AVE ,RALEIGH,27607,+19198281301,2008-03-20,19218,-78.68558086,35.80212022,M
1894500,4092015381,BEAVER CREEK CINEMAS 12,1441 Beaver Creek Commons DR,APEX,27502,+19193627342,2009-04-13,19220,-78.88323254,35.74554013,M
1894503,4092016458,CRAZY FIRE MONGOLIAN GRILL,13200 Strickland  RD ,RALEIGH,27613-7538,+19198661700,2013-07-01,19231,-78.72593809,35.90878313,M
1894504,4092018541,Chai's Asian Bistro,8347 CREEDMOOR  RD ,RALEIGH,27613,+19193413715,2021-02-22,19235,-78.68223183,35.90105252,M
1894505,4092017122,BELLINI FINE ITALIAN CUISINE,107 S EDINBURGH DR ,CARY,27511,+19195520303,2015-12-30,19232,-78.79822545,35.73935005,M
1894506,4092014863,Life Cafe,1700 Regency PKY ,CARY,27511,+19194608340,2007-05-09,19239,-78.78729265,35.73332654,M
1894507,4092018588,Wendy's,7460 Louisburg RD ,RALEIGH,27616,+19197130810,2021-03-24,19240,-78.53977,35.87454018,M
1894512,4092018362,Serasana,116 BASS LAKE RD,HOLLY SPRINGS,27540,+19197627473,2020-05-06,19260,-78.82480349,35.65381034,M
1894513,4092016001,TASTY BEVERAGE CO,327 W DAVIE ST ,RALEIGH,27601,+19198282789,2011-09-15,19267,-78.64497472,35.7752364,M
1894514,4092015047,La Cocina,100 Macgregor Pines DR ,CARY,27511,+19194670780,2008-01-16,19271,-78.8200282,35.74468402,M
1894516,4092016582,APEX WINGS,518 E WILLIAMS ST ,APEX,27502-2151,+19193870082,2013-12-20,19296,-78.84778574,35.72374776,M
1894517,4092018458,DUNKIN BASKIN ROBBINS HWY 55 CARY,2740 NC HWY 55 ,CARY,27519,+19193034334,2020-10-06,19256,-78.87101554,35.78562539,M
1894519,4092016567,CHUY'S #48,4020 MARKET AT NORTH HILLS  ST ,RALEIGH,27609,+19195712489,2013-11-13,19298,-78.63751992,35.83661475,M
1894520,4092015562,NANTUCKET GRILL,1145  FALLS RIVER AVE ,RALEIGH,27614,+19198701955,2010-01-14,19302,-78.58877443,35.90718863,M
1894521,4092017708,Outback #3443,901 Walnut ST ,CARY,27511,+19194601770,2017-10-05,19303,-78.76561938,35.77485795,M
1894522,4092015281,Zaxby's,8812 HARVEST OAKS  DR ,RALEIGH,27615,+19198478151,2008-11-07,19306,-78.65754379,35.90324644,M
1894523,4092016948,HIBACHI SUSHI,3217 AVENT FERRY RD ,RALEIGH,27606,+19192339119,2015-06-03,19308,-78.69565606,35.76673883,M
1894526,4092018350,Tropical Smoothie Cafe NC24,228 Crossroads BLVD ,CARY,27518,+19196518379,2020-04-15,19319,-78.73871452,35.76064286,M
1894527,4092018277,PIZZA HUT #036626,920 NE Maynard RD ,CARY,27513,+19194699991,2019-12-27,19330,-78.76838489,35.80043169,M
1894528,4092017772,A Place at the Table,300 W Hargett ST ,RALEIGH,27601,+19193078914,2018-01-05,19339,-78.64406686,35.77885883,M
1894529,4092018614,The Muse Coffee Co.,225  Timber DR ,Garner,27529,+14349418762,2021-04-12,19340,-78.60613102,35.68500723,M
1894531,4092017585,MCALISTER'S DELI #100958,1061 PINE PLAZA DR ,APEX,27523,+19193626518,2017-04-27,19354,-78.82939266,35.74657076,M
1894532,4092014945,Hardee's #1205,2304 Gorman ST ,RALEIGH,27606,+19192338287,2007-09-14,19374,-78.69461171,35.76740498,M
1894533,4092018690,Target Starbucks & Snack Bar,8701 SIX FORKS RD ,RALEIGH,27615,nan,2021-08-08,19377,-78.65241639,35.89850675,M
1894536,4092017217,THE MASON JAR TAVERN,305 S MAIN ST ,FUQUAY-VARINA,27526,+19197625555,2016-04-28,19387,-78.79935598,35.58164085,M
1894537,4092018068,Venture Pizza,2320-114 Bale ST ,RALEIGH,27608,+19192149871,2019-03-08,19388,-78.62723763,35.812985,M
