OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1927850,4092015820,VILLAGE GRILL,8470-102 HONEYCUTT RD ,RALEIGH,27615,+19198905340,2010-11-12,19753,-78.62256186,35.89560462,M
1927851,4092017847,Zenfish Morrisville,9924 Chapel Hill RD ,Morrisville,27560,+19192340914,2018-04-25,19805,-78.82063472,35.81480892,M
1927852,4092017578,SOUTHERN CRAFT BUTCHERS,8460-116 HONEYCUTT RD ,RALEIGH,27615,+19192394087,2017-04-18,19755,-78.62255822,35.89549529,M
1927855,4092015755,FIESTA MEXICANA #6,428 VILLAGE WALK DR ,HOLLY SPRINGS,27540,+19193461330,2011-06-17,19808,-78.83920922,35.63987917,M
1927856,4092017785,China Won,8109-109 Fayetteville RD ,RALEIGH,27603,+19196629799,2018-01-30,19794,-78.7013693,35.66354199,M
1927857,4092018538,Domino's 9020,2114 S MAIN ST,WAKE FOREST,27587,+19195620330,2021-02-18,19818,-78.5350345,35.95207529,M
1927858,4092018473,Subway 3152,4003 WAKE FOREST RD ,RALEIGH,27609,+19198762266,2020-10-29,19822,-78.61511172,35.8362139,M
1927859,4092018707,Poke Bar,909 SPRING FOREST RD,RALEIGH,27609,+19198966256,2021-09-21,19825,-78.62312587,35.86765935,M
1927860,4092015048,Thai Spices & Sushi,986 High House RD ,CARY,27513,+19193191818,2008-01-22,19829,-78.82691458,35.788417,M
1927861,4092018246,PIZZA HUT #9215,301-105 N SALEM ST ,APEX,27502,+19192674517,2019-12-03,19812,-78.85306067,35.7286054,T
1927862,4092018612,New World Cafe,4112 PLEASANT VALLEY RD ,RALEIGH,27612,+19197860091,2021-04-27,19835,-78.70472608,35.86043731,M
1927864,4092017094,J J CHINA,3607 DAVIS DR ,MORRISVILLE,27560,+19193807168,2015-12-07,19846,-78.84976245,35.82130357,M
1927865,4092014927,DQ Grill and Chill #41656,1008 Morrisville Carpenter RD ,MORRISVILLE,27560,+19194676753,2007-08-10,19848,-78.84488682,35.81970809,M
1927866,4092014777,Max's Pizza & Grill,5609 Creedmoor RD ,RALEIGH,27612,+19197836565,2007-01-16,19857,-78.68200551,35.85879117,M
1927867,4092017736,Clean Juice Parkwest,3035 Village Market PL ,Morrisville,27560,+19194688286,2017-11-14,19859,-78.81851309,35.80675172,M
1927868,4092018608,Em's Cafe and Catering,1904 NW MAYNARD RD,CARY,27513,+19193778030,2021-04-26,19860,-78.79490368,35.79887622,M
1927869,4092017820,Alamo Drafthouse Cinema,2116-D New Bern AVE ,RALEIGH,27610,+19844446620,2018-04-04,19858,-78.60490969,35.77963494,M
1927870,4092017946,MCDONALDS #34433,4980 CARY GLEN BLVD ,CARY,27519,+19194629904,2018-09-27,19866,-78.90188372,35.8192725,M
1927871,4092016588,OAK CITY MEATBALL SHOPPE,180 E DAVIE ST ,RALEIGH,27601,+19197448301,2013-12-20,19868,-78.63762576,35.77518054,M
1927873,4092018384,Curry House,2101 S MAIN ST,WAKE FOREST,27587,+19199857244,2020-06-17,19872,-78.53310077,35.94802112,M
1927874,4092018664,Akami Sushi Bar,1561 E WILLIAMS ST,APEX,27539,+19192676368,2021-06-29,19874,-78.83534627,35.7067576,M
1927875,4092018359,TROPICAL SMOOTHIE CAFE,2028 KILDAIRE FARM RD ,CARY,27518,+19199779506,2020-04-30,19881,-78.78068669,35.73567522,M
1927877,4092016048,GONZA TACOS Y TEQUILA,7713 LEAD MINE  RD ,RALEIGH,27615,+19198465478,2011-11-17,19890,-78.66044244,35.88617531,T
1927879,4092018564,Wendy's #9393,1020 Timber DR E ,GARNER,27529,+19194579999,2021-03-24,19907,-78.58031768,35.68908356,M
1927880,4092018708,America's Best Wings,3901 CAPITAL BLVD,RALEIGH,27604-3487,+19197479440,2021-09-21,19909,-78.58517624,35.83498992,M
1927881,4092015904,WHOLE FOODS #10338 PREPARED FOODS,8710 SIX FORKS RD ,RALEIGH,27615,+19193540350,2011-03-11,19919,-78.65023656,35.89889154,M
1927882,4092017623,PRO'S EPICUREAN MARKET & CAFE,211 E CHATHAM ST ,CARY,27511,+19193771788,2017-06-20,19945,-78.77802091,35.78798563,M
1927883,4092015051,Taza Grill #2,10940 Raven Ridge  RD ,RALEIGH,27614,+19198457772,2008-01-25,19947,-78.59009973,35.90790792,M
1927884,4092017740,Chilango Restaurant ,2253 New Hope Church RD ,RALEIGH,27604,+19193073672,2017-11-01,19950,-78.60062749,35.83624718,M
1927885,4092017543,Kardia,4420 Lake Boone TRL ,RALEIGH,27607,nan,2017-02-22,19956,-78.70242018,35.81817246,M
1927886,4092017979,DOMINO'S #8935,2819 WENDELL BLVD,WENDELL,27591,+19193659192,2018-11-19,19964,-78.38037181,35.79568777,M
1927887,4092018277,PIZZA HUT #036626,920 NE Maynard RD ,CARY,27513,+19194699991,2019-12-27,19970,-78.76838489,35.80043169,M
1927889,4092015087,BRUEGGERS BAGELS #644,3510 WADE AVE ,RALEIGH,27607,+19198281301,2008-03-20,19978,-78.68558086,35.80212022,M
1927890,4092015381,BEAVER CREEK CINEMAS 12,1441 Beaver Creek Commons DR,APEX,27502,+19193627342,2009-04-13,19980,-78.88256304,35.74574207,M
1927891,4092017747,Burger Fi,3004 Wake Forest RD Suite 100,RALEIGH,27609,+19199993700,2017-11-29,19997,-78.62038753,35.82333592,M
1927892,4092018562,Jersey Mike's Subs #3157 ,1009 Stadium DR ,WAKE FOREST,27587,+19192770623,2021-03-19,20000,-78.52990327,35.98957106,M
1927893,4092018072,Starbucks Target 1824,1040 Timber DR E ,GARNER,27529,+19196612017,2019-03-11,20009,-78.57962906,35.6874773,M
1927894,4092018068,Venture Pizza,2320-114 Bale ST ,RALEIGH,27608,+19192149871,2019-03-08,20008,-78.62723763,35.812985,M
1927895,4092018310,Mission Market Cafe,124 N SALEM ST,APEX,27502,+19196294064,2020-01-28,20014,-78.85070582,35.73145842,M
1927896,4092017039,BISTRO IN THE PARK,201 HARRISON OAKS BLVD,CARY,27513-5544,+19196771840,2015-11-12,20016,-78.77138943,35.83301257,M
1927897,4092016357,TAZIKI'S,302 COLONADES  WAY ,CARY,27518,+19194150447,2013-01-28,20017,-78.77756307,35.73853619,M
1927898,4092018266,WOK ON FIRE,1216 PARKSIDE MAIN ST ,CARY,27519,+19194660888,2019-12-16,20023,-78.88929435,35.84836238,M
1927899,4092025282,Alimentari,500 E DAVIE ST,RALEIGH,27601,+19193160468,2019-09-17,20024,-78.63206132,35.77487463,M
