"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"A6D8FA97-6FC8-86AC-8EA2B1D756566D0A","THE ATRIUM GRILLE","2501 BLUE RIDGE RD ","RALEIGH","NC","27607","","","19196152121"
"A6D96480-9CD9-B1F7-4A993473123CA7BD","WHICH WICH?","4025-130 LAKE BOONE TRL ","RALEIGH","NC","27607","","","19197811101"
"A706C6D3-C7F8-C1F3-B78A5879D60B77EC","RUDY'S PUB &amp; GRILL","780 W Williams ST ","APEX","NC","27502","","","19193035061"
"A729FB8D-5056-A20B-FA5547124FDD9387","SHEETZ #598","1885 N BROAD ST ","FUQUAY-VARINA","NC","27526","","","19195671333"
"A745B361-DC2C-1BB6-B05148AC9C86D656","PEPPERS MARKET","2107 GRACE PARK DR ","MORRISVILLE","NC","27560","","","19193807002"
"A751E7BD-E548-EDA8-0663BADBEB633173","ZAYKA INDIAN CUISINE","10410-103 MONCREIFFE  RD ","RALEIGH","NC","27617","","","19193615370"
"A76D4311-5056-A20B-FAFAB4785D8D1BEF","BEST WESTERN PLUS EDISON INN FOODSERVICE","1595 MECHANICAL BLVD ","GARNER","NC","27529","","","19196624890"
"A775CE61-0CFB-D44A-E802CD7A730F9989","PARK BAR &amp; GRILL (DoubleTree By Hilton)","500 CAITBOO AVE ","CARY","NC","27518","","","19199008840"
"A799E236-F115-4AA0-947D1D2EAB69FDBC","Johnny's Pizza","8759 Holly Springs RD ","APEX","NC","27539","","","19194345989"
"A7B2C5DD-1433-D13B-C483F0B0390B80E1","BUKU","110 E DAVIE ST ","RALEIGH","NC","27601","","","19193220440"
"A7C814A3-D570-ED11-85B0AE18AB5FBBC9","NICHE WINE LOUNGE","109 N MAIN ST ","HOLLY SPRINGS","NC","27540","","","19195522300"
"A895103E-C654-E507-09D9DD7A9E985366","CHAI'S ASIAN BISTRO","8347 CREEDMOOR  RD ","RALEIGH","NC","27613","","","19193413715"
"A8AF5F19-B90D-0374-C2BE6E031B2A5127","LA CARRETA","2711 N NC HWY 55 ","CARY","NC","27519","","","19193629580"
"A8DF7E30-7D78-150B-04DFD36EA1785790","DIXIE BELLE'S","1001 DAVIS  DR ","APEX","NC","27523","","","19193036676"
